student_id,study_hours,attendance,previous_marks,assignment_score,pass
208,6.3,91,48,83,1
209,7.0,58,65,41,1
210,1.6,71,82,60,0
211,2.3,84,43,79,0
212,3.0,97,60,37,0
213,3.7,64,77,56,1
214,4.4,77,94,75,1
215,5.1,90,55,94,1
216,5.8,57,72,52,1
217,6.5,70,89,71,1
218,1.1,83,50,90,0
219,1.8,96,67,48,0
220,2.5,63,84,67,1
221,3.2,76,45,86,0
222,3.9,89,62,44,1
223,4.6,56,79,63,1
224,5.3,69,40,82,1
225,6.0,82,57,40,1
226,6.7,95,74,59,1
227,1.3,62,91,78,0
228,2.0,75,52,36,0
229,2.7,88,69,55,1
230,3.4,55,86,74,1
231,4.1,68,47,93,1
232,4.8,81,64,51,1
233,5.5,94,81,70,1
234,6.2,61,42,89,1
235,6.9,74,59,47,1
236,1.5,87,76,66,0
237,2.2,100,93,85,1
238,2.9,67,54,43,0
239,3.6,80,71,62,1
240,4.3,93,88,81,1
241,5.0,60,49,39,0
242,5.7,73,66,58,1
243,6.4,86,83,77,1
244,1.0,99,44,35,0
245,1.7,66,61,54,0
246,2.4,79,78,73,1
247,3.1,92,95,92,1
248,3.8,59,56,50,0
249,4.5,72,73,69,1
250,5.2,85,90,88,1
251,5.9,98,51,46,1
252,6.6,65,68,65,1
253,1.2,78,85,84,0
254,1.9,91,46,42,0
255,2.6,58,63,61,0
256,3.3,71,80,80,1
257,4.0,84,41,38,0
258,4.7,97,58,57,1
259,5.4,64,75,76,1
260,6.1,77,92,95,1
261,6.8,90,53,53,1
262,1.4,57,70,72,0
263,2.1,70,87,91,1
264,2.8,83,48,49,0
265,3.5,96,65,68,1
266,4.2,63,82,87,1
267,4.9,76,43,45,1
268,5.6,89,60,64,1
269,6.3,56,77,83,1
270,7.0,69,94,41,1
271,1.6,82,55,60,0
272,2.3,95,72,79,1
273,3.0,62,89,37,1
274,3.7,75,50,56,1
275,4.4,88,67,75,1
276,5.1,55,84,94,1
277,5.8,68,45,52,1
278,6.5,81,62,71,1
279,1.1,94,79,90,0
280,1.8,61,40,48,0
281,2.5,74,57,67,0
282,3.2,87,74,86,1
283,3.9,100,91,44,1
284,4.6,67,52,63,0
285,5.3,80,69,82,1
286,6.0,93,86,40,1
287,6.7,60,47,59,1
288,1.3,73,64,78,0
289,2.0,86,81,36,0
290,2.7,99,42,55,0
291,3.4,66,59,74,1
292,4.1,79,76,93,1
293,4.8,92,93,51,1
294,5.5,59,54,70,1
295,6.2,72,71,89,1
296,6.9,85,88,47,1
297,1.5,98,49,66,0
298,2.2,65,66,85,0
299,2.9,78,83,43,1
300,3.6,91,44,62,1
